[LOAD] No existing BOW features found in data/bow_depth1. Computing from scratch...                   
-> data/toys_games.json.gz already exists. Skipping download.                                         
                                                                                                      
[ENCODE] BOW encoding 317329 documents...                                                             
[ENCODE] BOW done in 15.53s -> matrix (317329, 5000)                                                  
                                                                                                      
[SAVE] BOW matrix: (317329, 5000) -> data/bow_depth1                                                  
[SAVE] Split indices: train=222130, test=95199 -> data/bow_depth1                                     
                                                                                                      
[LOAD] Loading split indices from data/bow_depth1                                                     
                                                                                                      
[TRAINING] Starting MLP training on BOW features using device: cuda                                   
                                                                                                      
[DATA INFO] 18 classes.                                                                               
['Action Figures & Statues' 'Arts & Crafts' 'Baby & Toddler Toys'                                     
 'Building Toys' 'Dolls & Accessories' 'Dress Up & Pretend Play'                                      
 'Electronics for Kids' 'Games' 'Grown-Up Toys' 'Hobbies'                                             
 'Learning & Education' 'Novelty & Gag Toys' 'Party Supplies' 'Puzzles'                               
 'Sports & Outdoor Play' 'Stuffed Animals & Plush'                                                    
 'Toy Remote Control & Play Vehicles' 'Tricycles, Scooters & Wagons']                                 
                                                                                                      
[EPOCH 135] train_loss=1.0515 val_loss=1.0184 val_acc=0.7093 epoch_time=0.03s total=4.05s             
[EPOCH 136] train_loss=1.0518 val_loss=1.0182 val_acc=0.7092 epoch_time=0.03s total=4.08s *           
[EPOCH 137] train_loss=1.0514 val_loss=1.0179 val_acc=0.7095 epoch_time=0.03s total=4.11s *           
[EPOCH 138] train_loss=1.0504 val_loss=1.0177 val_acc=0.7098 epoch_time=0.03s total=4.14s *           
[EPOCH 139] train_loss=1.0511 val_loss=1.0175 val_acc=0.7101 epoch_time=0.03s total=4.17s *           
[EPOCH 140] train_loss=1.0495 val_loss=1.0173 val_acc=0.7104 epoch_time=0.03s total=4.20s *           
[EPOCH 141] train_loss=1.0506 val_loss=1.0173 val_acc=0.7106 epoch_time=0.03s total=4.23s             
[EPOCH 142] train_loss=1.0501 val_loss=1.0172 val_acc=0.7101 epoch_time=0.03s total=4.26s *           
[EPOCH 143] train_loss=1.0507 val_loss=1.0170 val_acc=0.7099 epoch_time=0.03s total=4.29s *           
[EPOCH 144] train_loss=1.0494 val_loss=1.0166 val_acc=0.7098 epoch_time=0.03s total=4.32s *           
[EPOCH 145] train_loss=1.0485 val_loss=1.0163 val_acc=0.7098 epoch_time=0.03s total=4.35s *           
[EPOCH 146] train_loss=1.0495 val_loss=1.0161 val_acc=0.7094 epoch_time=0.03s total=4.38s *           
[EPOCH 147] train_loss=1.0493 val_loss=1.0158 val_acc=0.7092 epoch_time=0.03s total=4.41s *           
[EPOCH 148] train_loss=1.0484 val_loss=1.0155 val_acc=0.7090 epoch_time=0.03s total=4.44s *           
[EPOCH 149] train_loss=1.0477 val_loss=1.0150 val_acc=0.7093 epoch_time=0.03s total=4.47s *           
[EPOCH 150] train_loss=1.0482 val_loss=1.0148 val_acc=0.7096 epoch_time=0.03s total=4.50s *           
[EPOCH 151] train_loss=1.0483 val_loss=1.0146 val_acc=0.7098 epoch_time=0.03s total=4.53s *           
[EPOCH 152] train_loss=1.0472 val_loss=1.0144 val_acc=0.7103 epoch_time=0.03s total=4.56s *           
[EPOCH 153] train_loss=1.0474 val_loss=1.0144 val_acc=0.7102 epoch_time=0.03s total=4.59s 
[EPOCH 154] train_loss=1.0480 val_loss=1.0140 val_acc=0.7102 epoch_time=0.03s total=4.62s *           
[EPOCH 155] train_loss=1.0471 val_loss=1.0139 val_acc=0.7100 epoch_time=0.03s total=4.65s *           
[EPOCH 156] train_loss=1.0461 val_loss=1.0138 val_acc=0.7101 epoch_time=0.03s total=4.68s *           
[EPOCH 157] train_loss=1.0455 val_loss=1.0137 val_acc=0.7099 epoch_time=0.03s total=4.71s             
[EPOCH 158] train_loss=1.0460 val_loss=1.0136 val_acc=0.7101 epoch_time=0.03s total=4.74s *           
[EPOCH 159] train_loss=1.0457 val_loss=1.0134 val_acc=0.7102 epoch_time=0.03s total=4.77s *           
[EPOCH 160] train_loss=1.0448 val_loss=1.0131 val_acc=0.7104 epoch_time=0.03s total=4.80s *           
[EPOCH 161] train_loss=1.0459 val_loss=1.0126 val_acc=0.7107 epoch_time=0.03s total=4.83s *           
[EPOCH 162] train_loss=1.0454 val_loss=1.0128 val_acc=0.7107 epoch_time=0.03s total=4.86s             
[EPOCH 163] train_loss=1.0443 val_loss=1.0127 val_acc=0.7107 epoch_time=0.03s total=4.89s             
[EPOCH 164] train_loss=1.0434 val_loss=1.0124 val_acc=0.7106 epoch_time=0.03s total=4.92s *           
[EPOCH 165] train_loss=1.0448 val_loss=1.0122 val_acc=0.7105 epoch_time=0.03s total=4.95s *           
[EPOCH 166] train_loss=1.0450 val_loss=1.0119 val_acc=0.7107 epoch_time=0.03s total=4.98s *           
[EPOCH 167] train_loss=1.0443 val_loss=1.0115 val_acc=0.7106 epoch_time=0.03s total=5.01s *           
[EPOCH 168] train_loss=1.0450 val_loss=1.0116 val_acc=0.7109 epoch_time=0.03s total=5.04s             
[EPOCH 169] train_loss=1.0446 val_loss=1.0116 val_acc=0.7111 epoch_time=0.03s total=5.07s             
[EPOCH 170] train_loss=1.0435 val_loss=1.0114 val_acc=0.7111 epoch_time=0.03s total=5.10s             
[EPOCH 171] train_loss=1.0440 val_loss=1.0112 val_acc=0.7113 epoch_time=0.03s total=5.13s *           
[EPOCH 172] train_loss=1.0435 val_loss=1.0111 val_acc=0.7110 epoch_time=0.03s total=5.16s *           
[EPOCH 173] train_loss=1.0447 val_loss=1.0109 val_acc=0.7113 epoch_time=0.03s total=5.19s *           
[EPOCH 174] train_loss=1.0432 val_loss=1.0108 val_acc=0.7113 epoch_time=0.03s total=5.22s             
[EPOCH 175] train_loss=1.0444 val_loss=1.0105 val_acc=0.7113 epoch_time=0.03s total=5.25s *           
[EPOCH 176] train_loss=1.0439 val_loss=1.0102 val_acc=0.7108 epoch_time=0.03s total=5.28s *           
[EPOCH 177] train_loss=1.0423 val_loss=1.0100 val_acc=0.7111 epoch_time=0.03s total=5.31s *           
[EPOCH 178] train_loss=1.0421 val_loss=1.0098 val_acc=0.7113 epoch_time=0.03s total=5.34s *           
[EPOCH 179] train_loss=1.0427 val_loss=1.0097 val_acc=0.7116 epoch_time=0.03s total=5.37s             
[EPOCH 180] train_loss=1.0428 val_loss=1.0096 val_acc=0.7117 epoch_time=0.03s total=5.40s *           
[EPOCH 181] train_loss=1.0411 val_loss=1.0094 val_acc=0.7120 epoch_time=0.03s total=5.43s *           
[EPOCH 182] train_loss=1.0427 val_loss=1.0093 val_acc=0.7120 epoch_time=0.03s total=5.46s *           
[EPOCH 183] train_loss=1.0432 val_loss=1.0092 val_acc=0.7115 epoch_time=0.03s total=5.49s *           
[EPOCH 184] train_loss=1.0409 val_loss=1.0090 val_acc=0.7114 epoch_time=0.03s total=5.52s *           
[EPOCH 185] train_loss=1.0420 val_loss=1.0090 val_acc=0.7117 epoch_time=0.03s total=5.54s             
[EPOCH 186] train_loss=1.0427 val_loss=1.0090 val_acc=0.7117 epoch_time=0.03s total=5.57s             
[EPOCH 187] train_loss=1.0418 val_loss=1.0091 val_acc=0.7113 epoch_time=0.03s total=5.60s             
[EPOCH 188] train_loss=1.0414 val_loss=1.0090 val_acc=0.7114 epoch_time=0.03s total=5.63s             
[EPOCH 189] train_loss=1.0407 val_loss=1.0089 val_acc=0.7115 epoch_time=0.03s total=5.66s             
[EPOCH 190] train_loss=1.0403 val_loss=1.0087 val_acc=0.7115 epoch_time=0.03s total=5.69s *           
[EPOCH 191] train_loss=1.0411 val_loss=1.0086 val_acc=0.7114 epoch_time=0.03s total=5.72s             
[EPOCH 192] train_loss=1.0408 val_loss=1.0085 val_acc=0.7111 epoch_time=0.03s total=5.75s *           
[EPOCH 193] train_loss=1.0398 val_loss=1.0085 val_acc=0.7111 epoch_time=0.03s total=5.78s             
[EPOCH 194] train_loss=1.0391 val_loss=1.0085 val_acc=0.7106 epoch_time=0.03s total=5.81s             
[EPOCH 195] train_loss=1.0407 val_loss=1.0084 val_acc=0.7108 epoch_time=0.03s total=5.84s             
[EPOCH 196] train_loss=1.0397 val_loss=1.0084 val_acc=0.7111 epoch_time=0.03s total=5.87s             
[EPOCH 197] train_loss=1.0409 val_loss=1.0084 val_acc=0.7108 epoch_time=0.03s total=5.90s *           
[EPOCH 198] train_loss=1.0413 val_loss=1.0082 val_acc=0.7112 epoch_time=0.03s total=5.93s *           
[EPOCH 199] train_loss=1.0397 val_loss=1.0079 val_acc=0.7108 epoch_time=0.03s total=5.96s *           
[EPOCH 200] train_loss=1.0388 val_loss=1.0078 val_acc=0.7110 epoch_time=0.03s total=5.99s *           
                                                                                                      
[TRAINING] Completed in 5.99s (restored weights from epoch 200, val_loss=1.0078)                      
----------------------------------------                                                              
[SCORES] MLP - Encoder: BOW                                                                           
Accuracy:    0.7098                                                                                   
Macro F1:    0.6082                                                                                   
Weighted F1: 0.6918                                                                                   
---------------------------------------- 
